order,paper_item,dataset,experiment,display_metric,aggregate_artifact,private_event_artifact,status,paper_alignment,notes
1,Figure 1a,CES,Frozen LSTM-Attention temporal windows,F1(+),diagnostic_evidence/figure1_temporal.csv,,aggregate_only,current_working_tree,Window values are retained; original prediction files were not found in either SG-Share runtime.
2,Figure 1b,CES,OLIFL global versus per-user,F1(+),RQ2_main_results/main_classification/online_baselines/remote_ces_20260724/reproduce_global_per_user_f1_20260724,see audit/private_artifact_manifest.tsv,complete,current_working_tree,First-K is user-macro and Full is event-pooled.
3,Figure 2 and diagnostic tables,CES,Relation-profile hierarchy,cosine diagnostics,diagnostic_evidence/relation_transfer_diagnostics.csv,,manuscript_only,current_working_tree,Original relation-profile analysis program and record-level output are unavailable.
4,Transfer diagnostic,CES,Linear-surrogate transfer compatibility,AUC,diagnostic_evidence/relation_transfer_diagnostics.csv,,manuscript_only,current_working_tree,The 0.702 AUC is a diagnostic artifact rather than a TinyTFT run.
5,RQ1,CES/GLOBEM,Dataset participation and evidence accumulation,users/days,RQ1_dataset_analysis/dataset_analysis.csv,,aggregate_only,current_working_tree,Values are retained from the plotted figure data.
6,RQ2 Table 2,CES,Offline ML and DL,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/offline_baselines.csv,,aggregate_only,current_working_tree,Only published aggregate metrics are retained in this repository.
7,RQ2 Table 2,GLOBEM,Offline ML and DL,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/offline_baselines.csv,,aggregate_only,current_working_tree,Only published aggregate metrics are retained in this repository.
8,RQ2 Table 2,CES,Online global and per-user SOTA,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/online_baselines,see audit/private_artifact_manifest.tsv,complete,current_working_tree,July 24 remote reruns plus July 21 aggregate references are retained.
9,RQ2 Table 2,GLOBEM,Online global and per-user SOTA,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/online_baselines/local_reference_20260721,local private source events,complete,current_working_tree,Event files exist in the private local experiment store but were not uploaded.
10,RQ2 Table 2,CES,SG-Share classification tuned,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/sgshare/ces,mature_parameter_sensitivity_seed42_20260723/ces/lambda20_d010/events.csv,partial_alignment,current_working_tree,"The selected F1(+) is 0.7060458652, but the other displayed metrics do not come from this event file; see audit/alignment_issues.csv."
11,RQ2 Table 2,GLOBEM,SG-Share classification tuned,F1(+)/Recall(+)/Accuracy/AUC,RQ2_main_results/main_classification/sgshare/globem,no_split_focal_alpha_k_cross_seed42_20260723/globem/a010_k5/events.csv,complete,current_working_tree,The selected F1(+) is 0.7358834244.
12,RQ2 efficiency,CES/GLOBEM,Online interval versus offline Transformer retraining,seconds,RQ2_main_results/efficiency/timing.csv,,aggregate_only,current_working_tree,The SG-Share runtime does not retain the original timing runner output.
13,RQ3 Table 3,CES,First-K baselines,user-macro F1(+)/Recall(+),RQ2_main_results/main_classification/online_baselines,private baseline events,complete,current_working_tree,K=5 and K=10 are reported.
14,RQ3 Table 3,GLOBEM,First-K baselines,user-macro F1(+)/Recall(+),RQ2_main_results/main_classification/online_baselines,private baseline events,complete,current_working_tree,K=5 and K=10 are reported.
15,RQ3 Table 3,CES,SG-Share cold-safe,user-macro F1(+)/Recall(+),RQ3_low_evidence/sgshare/ces,no_split_focal_alpha_k_cross_seed42_20260723/ces/a005_k3/events.csv,complete,current_working_tree,The cold-safe preset differs from the classification-tuned preset.
16,RQ3 Table 3,GLOBEM,SG-Share cold-safe,user-macro F1(+)/Recall(+),RQ3_low_evidence/sgshare/globem,globem_cold_alpha_refine_seed42_20260723/alpha_012/events.csv,complete,current_working_tree,The cold-safe preset differs from the classification-tuned preset.
17,RQ4 component,CES/GLOBEM,Component ablation,class-macro F1 and class-macro F1@5,RQ4_ablation_study/current_paper_macro,see audit/private_artifact_manifest.tsv,complete,current_working_tree,The current LaTeX displays the July 22 class-macro table.
18,RQ4 grouping,CES/GLOBEM,Grouping-signal ablation,class-macro F1 and class-macro F1@5,RQ4_ablation_study/current_paper_macro,see audit/private_artifact_manifest.tsv,complete,current_working_tree,The current LaTeX displays the July 22 class-macro table.
19,RQ4 latest rerun,CES/GLOBEM,Positive-class component and grouping ablations,F1(+),RQ4_ablation_study/latest_positive_class,see audit/private_artifact_manifest.tsv,complete,not_currently_displayed,These July 23 results back the positive-class ablation transcribed in expected/.
20,RQ5 alpha/k,CES/GLOBEM,Route-gradient alpha and k_min,F1(+),RQ5_hyperparameter_sensitivity/alpha_k,see audit/private_artifact_manifest.tsv,complete,current_working_tree,All 3x3 grid points are represented by retained private events.
21,RQ5 reassignment,CES/GLOBEM,Mature reassignment threshold and margin,F1(+),RQ5_hyperparameter_sensitivity/reassignment,see audit/private_artifact_manifest.tsv,complete,current_working_tree,All displayed one-factor points are retained.
